dataset,method,split,total_queries,avg_pool_size,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,full_coverage@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,full_coverage@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,full_coverage@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,full_coverage@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,full_coverage@20,recall@50,gt_recall@50,precision@50,f1@50,ndcg@50,full_coverage@50,recall@100,gt_recall@100,precision@100,f1@100,ndcg@100,full_coverage@100,recall@200,gt_recall@200,precision@200,f1@200,ndcg@200,full_coverage@200,recall@500,gt_recall@500,precision@500,f1@500,ndcg@500,full_coverage@500,recall@1000,gt_recall@1000,precision@1000,f1@1000,ndcg@1000,full_coverage@1000,mrr,avg_gt_docs,min_gt_docs,max_gt_docs,median_gt_docs,std_gt_docs,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_l1_latency_ms,avg_l2_latency_ms,p95_l2_latency_ms
metaqa,no_rerank,train,285259,20118.5,0.11,0.03,0.11,0.04,0.11,0.02,0.49,0.13,0.18,0.1,0.19,0.08,0.93,0.29,0.28,0.18,0.31,0.18,6.01,1.98,1.0,0.91,1.14,1.14,10.58,5.34,1.15,1.43,2.22,3.37,12.78,6.11,0.52,0.8,2.32,3.85,15.84,7.1,0.3,0.52,2.53,4.41,24.46,10.73,0.21,0.39,3.16,6.56,46.78,23.38,0.16,0.31,5.06,14.77,58.15,32.98,0.12,0.24,6.4,22.6,1.55,7.48,1,285,2.0,14.29,169.78,13.0,0.1,0.11,0.15,0.17,1.14,0.1,0.15
metaqa,no_rerank,val,81502,20119.8,0.08,0.01,0.08,0.02,0.08,0.01,0.39,0.07,0.15,0.06,0.14,0.04,0.79,0.18,0.24,0.14,0.24,0.09,5.73,1.69,0.97,0.86,1.03,0.85,9.96,4.8,1.14,1.38,2.04,2.86,11.86,5.34,0.51,0.77,2.09,3.16,14.42,5.98,0.29,0.49,2.24,3.46,21.47,8.59,0.2,0.36,2.72,4.8,40.28,18.24,0.15,0.28,4.23,10.48,48.02,24.5,0.11,0.21,5.17,15.19,1.41,7.52,1,206,2.0,14.4,127.8,0.0,0.1,0.09,0.15,0.17,2.49,0.1,0.15
metaqa,no_rerank,test,40752,20119.3,0.09,0.02,0.09,0.02,0.09,0.01,0.45,0.09,0.17,0.08,0.16,0.05,0.81,0.19,0.25,0.15,0.25,0.1,5.57,1.6,0.93,0.82,0.98,0.81,9.89,4.76,1.11,1.37,2.01,2.83,11.83,5.34,0.5,0.76,2.08,3.16,14.39,5.96,0.28,0.48,2.23,3.46,21.45,8.56,0.19,0.36,2.7,4.77,40.05,18.1,0.15,0.28,4.2,10.39,47.94,24.47,0.11,0.21,5.15,15.23,1.41,7.47,1,187,2.0,14.26,128.46,0.0,0.12,0.12,0.19,0.22,1.39,0.12,0.19
