dataset,method,split,total_queries,avg_pool_size,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,full_coverage@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,full_coverage@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,full_coverage@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,full_coverage@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,full_coverage@20,recall@50,gt_recall@50,precision@50,f1@50,ndcg@50,full_coverage@50,recall@100,gt_recall@100,precision@100,f1@100,ndcg@100,full_coverage@100,recall@200,gt_recall@200,precision@200,f1@200,ndcg@200,full_coverage@200,recall@500,gt_recall@500,precision@500,f1@500,ndcg@500,full_coverage@500,recall@1000,gt_recall@1000,precision@1000,f1@1000,ndcg@1000,full_coverage@1000,mrr,avg_gt_docs,min_gt_docs,max_gt_docs,median_gt_docs,std_gt_docs,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_l1_latency_ms,avg_l2_latency_ms,p95_l2_latency_ms
2wiki,no_rerank,train,10500,19899.9,0.05,0.02,0.05,0.03,0.05,0.0,0.19,0.11,0.08,0.09,0.09,0.05,0.28,0.17,0.07,0.1,0.12,0.09,0.46,0.29,0.06,0.1,0.17,0.15,0.86,0.57,0.06,0.11,0.25,0.31,1.87,1.26,0.05,0.1,0.43,0.75,3.6,2.51,0.05,0.11,0.68,1.56,7.1,4.96,0.06,0.11,1.11,3.1,17.69,12.42,0.06,0.11,2.24,7.71,35.67,25.5,0.06,0.11,3.98,16.19,0.31,2.42,2,4,2.0,0.82,177.98,0.0,0.28,0.18,0.65,1.58,4.78,0.27,0.65
2wiki,no_rerank,val,3000,19900.2,0.07,0.03,0.07,0.04,0.07,0.0,0.13,0.07,0.04,0.05,0.06,0.0,0.2,0.12,0.05,0.07,0.09,0.03,0.33,0.22,0.05,0.08,0.13,0.1,0.47,0.33,0.03,0.06,0.17,0.2,0.97,0.65,0.03,0.05,0.25,0.33,1.97,1.36,0.03,0.06,0.39,0.77,4.4,2.99,0.03,0.07,0.68,1.7,11.87,8.17,0.04,0.07,1.45,4.63,22.5,15.54,0.03,0.07,2.43,8.83,0.22,2.42,2,4,2.0,0.82,111.49,0.0,0.21,0.18,0.34,0.65,4.04,0.21,0.34
2wiki,no_rerank,test,1500,19901.9,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.05,0.04,0.05,0.05,0.0,0.2,0.08,0.04,0.05,0.06,0.0,0.2,0.08,0.02,0.03,0.06,0.0,0.67,0.33,0.04,0.07,0.14,0.07,1.93,1.25,0.06,0.11,0.36,0.67,3.4,1.93,0.04,0.09,0.5,0.73,6.4,4.03,0.04,0.09,0.87,2.07,13.33,8.7,0.04,0.08,1.57,4.67,24.93,16.92,0.04,0.07,2.65,9.8,0.23,2.42,2,4,2.0,0.82,119.82,0.0,0.22,0.19,0.37,0.71,3.84,0.22,0.37
2wiki,bm25,train,10500,19899.9,35.06,15.43,35.06,21.13,35.06,0.0,48.19,23.41,17.97,19.94,26.58,3.53,52.97,26.62,12.31,16.53,27.36,5.17,58.31,30.45,7.05,11.29,28.95,7.21,63.14,34.13,3.95,7.02,30.14,9.56,67.5,37.91,1.76,3.34,31.11,12.3,70.31,40.47,0.94,1.83,31.64,14.33,72.88,42.83,0.5,0.98,32.06,16.02,76.31,46.31,0.22,0.43,32.6,18.77,79.0,49.37,0.11,0.23,33.02,21.49,43.26,2.42,2,4,2.0,0.82,39.33,1.0,336.39,309.42,592.16,757.66,4.78,336.39,592.16
2wiki,bm25,val,3000,19900.2,31.7,14.01,31.7,19.17,31.7,0.0,43.53,21.2,16.19,18.02,23.99,3.1,47.23,23.69,10.91,14.67,24.51,4.23,51.43,26.83,6.2,9.94,25.82,6.17,55.43,29.85,3.44,6.12,26.79,8.07,59.33,33.05,1.53,2.91,27.62,10.3,62.4,35.52,0.82,1.6,28.13,12.03,64.57,37.77,0.44,0.86,28.53,13.87,67.4,40.79,0.19,0.38,29.01,16.6,70.33,43.64,0.1,0.2,29.39,18.7,38.82,2.42,2,4,2.0,0.82,38.53,1.0,269.68,257.03,426.0,509.49,4.04,269.67,425.99
2wiki,bm25,test,1500,19901.9,31.0,13.97,31.0,19.03,31.0,0.0,42.2,20.98,15.64,17.64,23.57,3.8,46.13,23.55,10.61,14.4,24.29,5.2,49.47,26.67,6.06,9.75,25.59,7.6,54.33,29.98,3.42,6.09,26.66,9.0,58.2,33.13,1.52,2.89,27.48,11.0,61.13,35.6,0.82,1.6,28.01,12.6,63.93,37.98,0.44,0.86,28.44,14.4,67.27,41.32,0.19,0.38,28.95,17.6,69.6,43.53,0.1,0.2,29.25,19.13,37.92,2.42,2,4,2.0,0.82,35.65,1.0,263.08,251.94,405.93,489.66,3.84,263.08,405.93
2wiki,faiss_dense,train,10500,19899.9,63.83,29.01,63.83,39.45,63.83,0.0,77.55,41.42,30.81,34.78,47.23,10.84,80.29,44.58,20.0,27.2,47.66,13.96,82.7,47.75,10.76,17.36,48.99,17.24,84.53,50.29,5.69,10.15,49.83,19.99,86.1,53.27,2.42,4.62,50.61,23.46,86.79,55.26,1.26,2.46,51.02,26.16,87.63,57.39,0.66,1.3,51.42,28.9,88.59,60.58,0.28,0.55,51.92,33.25,89.19,63.65,0.15,0.29,52.34,37.69,71.27,2.42,2,4,2.0,0.82,11.19,1.0,48.64,48.05,66.99,81.77,4.78,48.63,66.98
2wiki,faiss_dense,val,3000,19900.2,56.47,25.67,56.47,34.91,56.47,0.0,68.23,36.51,27.04,30.6,41.63,9.97,71.0,39.43,17.58,23.97,42.09,12.73,73.17,42.29,9.46,15.29,43.28,15.83,74.7,44.64,5.01,8.94,44.04,18.8,76.03,47.13,2.12,4.05,44.69,21.73,76.87,49.26,1.11,2.17,45.14,24.5,77.6,51.03,0.58,1.14,45.46,26.73,78.57,53.87,0.25,0.49,45.91,30.4,79.5,56.22,0.13,0.26,46.23,33.23,62.96,2.42,2,4,2.0,0.82,13.52,1.0,41.5,38.09,65.62,93.02,4.04,41.49,65.61
2wiki,faiss_dense,test,1500,19901.9,55.2,25.23,55.2,34.28,55.2,0.0,68.13,36.22,26.78,30.33,41.13,9.27,70.6,38.95,17.33,23.65,41.55,11.87,73.2,41.88,9.37,15.14,42.78,14.6,74.67,44.43,4.98,8.9,43.61,17.53,75.93,47.55,2.14,4.08,44.41,21.93,76.8,49.43,1.11,2.17,44.81,24.4,77.33,51.5,0.58,1.15,45.18,27.33,78.4,54.38,0.25,0.49,45.64,31.13,79.27,57.08,0.13,0.26,46.01,34.93,62.26,2.42,2,4,2.0,0.82,12.84,1.0,37.8,36.27,51.25,73.02,3.84,37.79,51.25
