dataset,method,split,total_queries,avg_pool_size,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,full_coverage@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,full_coverage@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,full_coverage@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,full_coverage@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,full_coverage@20,recall@50,gt_recall@50,precision@50,f1@50,ndcg@50,full_coverage@50,recall@100,gt_recall@100,precision@100,f1@100,ndcg@100,full_coverage@100,recall@200,gt_recall@200,precision@200,f1@200,ndcg@200,full_coverage@200,recall@500,gt_recall@500,precision@500,f1@500,ndcg@500,full_coverage@500,recall@1000,gt_recall@1000,precision@1000,f1@1000,ndcg@1000,full_coverage@1000,mrr,avg_gt_docs,min_gt_docs,max_gt_docs,median_gt_docs,std_gt_docs,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_l1_latency_ms,avg_l2_latency_ms,p95_l2_latency_ms
musique,no_rerank,train,13956,20277.1,0.14,0.07,0.14,0.1,0.14,0.0,0.33,0.24,0.16,0.19,0.21,0.15,0.57,0.43,0.17,0.24,0.3,0.29,1.19,0.87,0.17,0.29,0.48,0.56,2.29,1.79,0.18,0.33,0.76,1.29,5.62,4.54,0.18,0.35,1.42,3.46,11.26,9.31,0.19,0.37,2.35,7.35,22.7,19.1,0.19,0.38,4.02,15.49,55.4,48.35,0.2,0.4,8.37,41.17,98.06,86.78,0.2,0.41,13.84,74.91,0.85,2.34,2,4,2.0,0.58,447.39,430.0,0.24,0.07,1.04,1.69,1.98,0.24,1.03
musique,no_rerank,val,3987,20275.8,0.08,0.04,0.08,0.05,0.08,0.0,0.15,0.1,0.07,0.08,0.09,0.05,0.25,0.15,0.06,0.09,0.11,0.05,0.5,0.31,0.06,0.1,0.18,0.13,1.03,0.71,0.07,0.13,0.3,0.4,3.14,2.53,0.1,0.19,0.73,1.93,7.17,6.11,0.12,0.24,1.44,5.04,16.1,14.2,0.14,0.28,2.81,12.29,43.74,39.66,0.16,0.33,6.6,35.42,78.38,71.19,0.17,0.34,11.11,63.31,0.5,2.34,2,4,2.0,0.58,367.83,329.0,0.08,0.07,0.16,0.28,1.7,0.08,0.16
musique,no_rerank,test,1995,20274.9,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.03,0.04,0.03,0.05,0.15,0.1,0.04,0.06,0.06,0.05,0.4,0.33,0.07,0.11,0.15,0.25,0.9,0.73,0.07,0.13,0.27,0.55,2.81,2.21,0.09,0.17,0.62,1.6,6.37,5.21,0.1,0.2,1.21,4.06,14.29,12.43,0.12,0.25,2.43,10.58,43.51,39.29,0.16,0.33,6.43,34.99,79.6,72.61,0.17,0.34,11.19,65.21,0.41,2.34,2,4,2.0,0.59,378.2,353.0,0.07,0.06,0.11,0.18,3.4,0.07,0.11
musique,bm25,train,13956,20277.1,22.33,10.44,22.33,14.15,22.33,0.0,37.66,17.61,12.66,14.62,18.39,0.28,44.9,21.15,9.18,12.72,20.16,0.75,54.49,26.39,5.77,9.42,22.31,2.26,63.65,32.56,3.59,6.44,24.29,5.65,74.37,42.19,1.87,3.58,26.75,13.77,79.45,47.85,1.07,2.09,27.93,19.28,84.11,53.35,0.6,1.18,28.93,24.73,89.01,59.9,0.27,0.54,29.95,31.52,91.79,64.87,0.15,0.29,30.63,37.58,33.09,2.34,2,4,2.0,0.58,52.29,5.0,298.91,264.97,541.51,908.75,1.98,298.9,541.51
musique,bm25,val,3987,20275.8,20.69,9.67,20.69,13.11,20.69,0.0,34.89,16.3,11.72,13.54,17.04,0.2,41.48,19.51,8.47,11.73,18.66,0.55,50.01,24.18,5.29,8.63,20.57,1.98,59.77,30.62,3.37,6.05,22.64,5.34,70.58,39.9,1.78,3.4,25.01,12.77,76.12,45.7,1.02,2.0,26.21,18.06,80.86,51.0,0.57,1.13,27.17,23.15,85.65,57.45,0.26,0.52,28.18,30.32,88.56,62.05,0.14,0.28,28.81,35.54,30.77,2.34,2,4,2.0,0.58,53.45,4.0,334.19,291.93,614.52,1028.37,1.7,334.17,614.51
musique,bm25,test,1995,20274.9,20.6,9.79,20.6,13.22,20.6,0.0,35.34,16.66,11.86,13.77,17.26,0.2,42.36,20.07,8.64,12.0,18.97,0.65,51.43,24.86,5.42,8.85,20.96,2.21,61.15,31.42,3.46,6.21,23.06,5.96,70.53,40.37,1.79,3.43,25.35,13.83,76.54,46.38,1.04,2.02,26.6,19.25,81.6,51.86,0.58,1.15,27.59,24.61,86.67,58.26,0.26,0.52,28.59,30.78,89.67,63.25,0.14,0.29,29.28,36.24,30.99,2.34,2,4,2.0,0.59,56.6,5.0,319.6,291.99,555.22,727.15,3.4,319.59,555.21
musique,faiss_dense,train,13956,20277.1,32.39,15.2,32.39,20.59,32.39,0.0,51.12,24.13,17.33,20.03,25.64,0.66,59.35,28.34,12.28,17.02,27.75,1.51,70.49,35.39,7.73,12.62,30.64,4.97,81.18,44.59,4.91,8.81,33.58,12.62,92.02,58.29,2.59,4.96,37.1,27.4,95.61,65.91,1.48,2.89,38.72,36.82,97.92,72.86,0.83,1.63,39.99,46.56,99.08,80.53,0.37,0.73,41.2,59.06,99.56,85.73,0.2,0.39,41.92,68.41,45.18,2.34,2,4,2.0,0.58,19.52,3.0,55.74,48.6,115.74,199.37,1.98,55.74,115.73
musique,faiss_dense,val,3987,20275.8,30.0,14.13,30.0,19.12,30.0,0.0,48.31,22.75,16.32,18.87,24.05,0.6,57.61,27.39,11.88,16.46,26.39,1.4,68.65,34.12,7.48,12.2,29.14,4.49,79.18,42.89,4.73,8.48,31.95,11.29,89.39,56.44,2.52,4.81,35.44,25.88,93.35,63.99,1.44,2.81,37.03,35.09,95.49,70.23,0.8,1.57,38.17,43.82,97.17,77.25,0.35,0.7,39.28,54.78,97.87,82.41,0.19,0.38,40.0,63.58,42.76,2.34,2,4,2.0,0.58,22.26,3.0,58.43,54.85,80.19,183.14,1.7,58.42,80.19
musique,faiss_dense,test,1995,20274.9,31.13,14.72,31.13,19.89,31.13,0.0,49.67,23.38,16.74,19.37,24.84,0.4,58.15,27.71,11.99,16.62,26.99,1.45,68.82,34.41,7.51,12.26,29.75,4.81,80.8,43.78,4.82,8.66,32.75,11.33,90.63,57.3,2.55,4.88,36.24,26.17,94.44,65.28,1.47,2.87,37.92,36.44,96.19,70.94,0.8,1.59,38.96,44.16,97.49,78.46,0.36,0.71,40.16,56.49,98.15,83.46,0.19,0.38,40.85,65.31,43.94,2.34,2,4,2.0,0.59,20.31,3.0,79.7,57.71,224.1,425.65,3.4,79.69,224.08
