dataset,method,split,recall@1,gt_recall@1,precision@1,f1@1,ndcg@1,recall@3,gt_recall@3,precision@3,f1@3,ndcg@3,recall@5,gt_recall@5,precision@5,f1@5,ndcg@5,recall@10,gt_recall@10,precision@10,f1@10,ndcg@10,recall@20,gt_recall@20,precision@20,f1@20,ndcg@20,mrr,avg_first_hit_pos,median_first_hit_pos,full_coverage@1,full_coverage@3,full_coverage@5,full_coverage@10,full_coverage@20,full_coverage@50,avg_weakest_positive_rank,median_weakest_positive_rank,avg_gt_partitions,median_gt_partitions,total_queries
2wiki,coverage_kl_lam_0.25,val,21.4,14.75,21.4,16.86,21.4,40.8,29.38,15.07,19.27,25.98,51.23,38.01,11.88,17.61,29.93,66.83,51.81,8.39,14.16,35.15,82.77,67.84,5.67,10.35,39.93,36.1,10.89,5.0,8.63,19.17,26.1,37.9,52.83,86.63,25.08,19.0,1.75,2.0,3000
2wiki,coverage_kl_lam_0.25,test,21.47,14.92,21.47,16.97,21.47,40.93,30.0,15.18,19.47,26.36,52.4,39.28,12.31,18.21,30.65,67.0,52.63,8.53,14.4,35.66,81.07,67.06,5.63,10.27,39.99,36.07,11.36,5.0,9.07,20.33,27.33,39.27,53.0,86.2,24.98,18.0,1.76,2.0,1500
2wiki,coverage_kl_lam_0.25__final,train,37.14,27.0,37.14,30.21,37.14,59.91,45.65,22.67,29.27,41.75,70.16,55.43,17.05,25.34,46.27,83.85,69.41,11.09,18.76,51.61,93.89,83.18,6.93,12.64,55.85,52.17,5.7,2.0,17.75,32.83,42.12,55.8,72.11,95.88,14.82,8.0,1.75,2.0,10500
2wiki,coverage_kl_lam_0.25__final,val,22.47,15.31,22.47,17.58,22.47,42.3,30.21,15.58,19.87,26.8,53.23,39.36,12.4,18.34,31.0,69.5,53.89,8.73,14.73,36.43,83.7,69.06,5.78,10.54,40.97,37.26,10.66,5.0,8.77,19.3,26.9,39.27,54.0,85.93,25.26,17.5,1.75,2.0,3000
2wiki,coverage_kl_lam_0.25__final,test,22.47,15.42,22.47,17.68,22.47,44.2,32.36,16.33,20.98,28.01,54.93,41.06,12.89,19.06,32.06,69.13,54.31,8.79,14.84,37.06,82.67,68.55,5.73,10.44,41.33,37.56,10.9,4.0,8.87,21.8,28.67,40.73,54.67,84.8,25.35,17.0,1.76,2.0,1500
2wiki,coverage_kl_lam_0.5,train,23.92,17.25,23.92,19.37,23.92,42.95,32.06,15.93,20.57,28.56,53.57,41.15,12.67,18.84,32.76,69.1,54.78,8.77,14.83,37.91,84.7,70.94,5.89,10.75,42.72,38.26,9.88,5.0,11.11,22.18,29.94,41.7,56.98,88.89,22.27,16.0,1.75,2.0,10500
2wiki,coverage_kl_lam_0.5,val,19.6,13.38,19.6,15.37,19.6,38.0,27.47,14.11,18.04,24.11,49.6,36.89,11.58,17.14,28.43,64.9,50.36,8.13,13.74,33.47,82.53,67.16,5.63,10.26,38.48,34.07,11.32,6.0,7.63,17.97,25.4,36.9,51.73,85.97,25.33,19.0,1.75,2.0,3000
2wiki,coverage_kl_lam_0.5,test,21.33,14.81,21.33,16.88,21.33,38.93,28.43,14.49,18.55,25.34,50.6,38.1,12.0,17.74,29.82,65.6,51.72,8.37,14.12,34.95,81.4,67.42,5.62,10.25,39.61,35.4,11.36,5.0,8.87,19.0,26.87,39.07,53.6,85.93,24.94,18.0,1.76,2.0,1500
2wiki,coverage_kl_lam_0.5__final,train,34.06,24.89,34.06,27.79,34.06,56.01,43.03,21.29,27.53,39.06,67.08,53.08,16.28,24.22,43.71,80.91,67.13,10.73,18.15,49.07,92.71,82.13,6.84,12.48,53.66,49.13,6.39,3.0,16.56,31.31,40.44,54.18,71.18,96.1,15.13,9.0,1.75,2.0,10500
2wiki,coverage_kl_lam_0.5__final,val,21.93,15.04,21.93,17.23,21.93,41.77,30.43,15.47,19.83,26.76,52.7,39.57,12.39,18.34,30.98,68.0,52.98,8.58,14.49,36.04,83.53,68.74,5.75,10.49,40.72,36.83,10.73,5.0,8.7,20.27,27.73,38.87,53.63,85.93,25.34,18.0,1.75,2.0,3000
2wiki,coverage_kl_lam_0.5__final,test,23.2,15.82,23.2,18.14,23.2,42.2,30.95,15.71,20.14,27.62,52.8,40.11,12.48,18.51,31.8,68.13,53.91,8.72,14.71,37.03,84.27,69.6,5.83,10.62,41.71,37.81,10.66,5.0,9.13,20.93,28.67,40.8,54.8,84.87,25.07,17.0,1.76,2.0,1500
2wiki,coverage_kl_lam_1,train,23.96,17.38,23.96,19.47,23.96,43.86,32.91,16.37,21.12,29.14,54.38,41.98,12.9,19.19,33.32,70.09,55.94,8.96,15.14,38.6,85.27,72.27,6.01,10.96,43.49,38.65,9.64,5.0,11.36,23.03,30.82,42.9,59.14,89.94,21.3,14.0,1.75,2.0,10500
2wiki,coverage_kl_lam_1,val,19.3,13.31,19.3,15.22,19.3,38.37,27.69,14.14,18.11,24.1,49.47,36.94,11.55,17.12,28.35,66.1,51.29,8.28,13.99,33.74,83.0,68.13,5.66,10.33,38.72,33.97,11.08,6.0,7.83,18.17,25.73,37.63,53.23,86.47,24.86,18.0,1.75,2.0,3000
2wiki,coverage_kl_lam_1,test,22.27,15.39,22.27,17.55,22.27,41.47,29.91,15.16,19.42,26.53,50.4,37.89,11.77,17.45,30.18,66.07,51.79,8.32,14.06,35.4,81.2,66.96,5.61,10.23,39.98,36.32,11.44,5.0,9.2,19.67,26.8,38.73,52.8,85.8,25.13,18.0,1.76,2.0,1500
2wiki,coverage_kl_lam_1__final,train,34.75,25.76,34.75,28.62,34.75,57.02,44.09,21.65,28.08,39.97,67.55,53.9,16.5,24.56,44.57,81.53,68.2,10.9,18.44,50.04,93.06,83.18,6.94,12.66,54.64,49.73,6.2,3.0,17.49,32.45,41.66,55.79,72.86,96.72,14.25,8.0,1.75,2.0,10500
2wiki,coverage_kl_lam_1__final,val,21.7,14.88,21.7,17.05,21.7,41.07,29.61,15.17,19.39,26.09,52.17,38.83,12.18,18.03,30.34,68.53,53.04,8.61,14.53,35.67,83.4,68.56,5.73,10.45,40.3,36.3,10.63,5.0,8.63,19.23,26.93,38.67,53.7,86.5,24.91,18.0,1.75,2.0,3000
2wiki,coverage_kl_lam_1__final,test,23.8,16.3,23.8,18.66,23.8,43.0,31.22,15.89,20.36,27.84,53.87,40.02,12.48,18.5,31.86,67.93,53.33,8.57,14.48,36.85,82.73,68.29,5.7,10.39,41.34,38.05,10.82,5.0,9.53,20.73,27.8,40.0,53.8,84.87,25.36,17.0,1.76,2.0,1500
