dataset,method,tau,split,total_queries,recall@1,recall@3,recall@5,recall@10,recall@20,gt_recall@1,gt_recall@3,gt_recall@5,gt_recall@10,gt_recall@20,precision@1,precision@3,precision@5,precision@10,precision@20,f1@1,f1@3,f1@5,f1@10,f1@20,ndcg@1,ndcg@3,ndcg@5,ndcg@10,ndcg@20,mrr,full_coverage@20,avg_gt_partitions,min_gt_partitions,max_gt_partitions,median_gt_partitions,std_gt_partitions,avg_first_hit_pos,median_first_hit_pos,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
musique,mlp_info_nce_multi_tau_0.5,0.5,val,3987,74.77,84.65,88.24,92.68,96.54,67.32,76.95,81.12,86.68,92.58,74.77,29.25,18.8,10.27,5.62,69.79,41.7,30.1,18.19,10.54,74.77,75.14,77.05,79.07,80.79,80.92,88.61,1.25,1,3,1.0,0.44,2.04,1.0,0.3,0.29,0.33,0.35
musique,mlp_info_nce_multi_tau_0.5,0.5,test,1995,74.89,84.51,87.72,92.78,96.49,67.82,77.18,80.94,86.91,92.97,74.89,29.12,18.66,10.22,5.62,70.17,41.63,29.91,18.11,10.53,74.89,75.32,77.07,79.2,80.96,80.84,89.42,1.24,1,3,1.0,0.44,2.07,1.0,0.29,0.29,0.33,0.34
musique,mlp_kl_div_tau_0.01,0.01,train,13956,95.79,99.05,99.62,99.95,100.0,85.08,94.55,96.7,98.63,99.61,95.79,37.96,23.62,12.2,6.2,88.63,53.05,37.31,21.47,11.6,95.79,94.31,95.4,96.17,96.48,97.48,99.17,1.25,1,3,1.0,0.44,1.09,1.0,0.29,0.28,0.32,0.33
musique,mlp_kl_div_tau_0.01,0.01,val,3987,75.52,88.39,92.8,96.76,98.8,68.44,81.15,86.3,91.58,95.98,75.52,31.21,20.24,11.0,5.89,70.79,44.3,32.3,19.43,11.02,75.52,78.22,80.57,82.55,83.85,83.05,93.13,1.25,1,3,1.0,0.44,1.84,1.0,0.29,0.29,0.32,0.33
musique,mlp_kl_div_tau_0.01,0.01,test,1995,75.14,88.87,93.33,97.14,99.5,68.1,82.09,87.09,92.65,97.05,75.14,31.36,20.31,11.09,5.92,70.44,44.63,32.47,19.6,11.1,75.14,78.6,80.88,82.94,84.23,83.0,94.59,1.24,1,3,1.0,0.44,1.9,1.0,0.3,0.3,0.32,0.33
musique,mlp_kl_div_tau_0.05,0.05,train,13956,99.05,99.96,99.99,100.0,100.0,87.2,98.15,99.25,99.78,99.97,99.05,40.34,24.66,12.44,6.24,91.12,55.9,38.78,21.86,11.67,99.05,98.08,98.65,98.87,98.93,99.49,99.94,1.25,1,3,1.0,0.44,1.01,1.0,0.29,0.29,0.32,0.33
musique,mlp_kl_div_tau_0.05,0.05,val,3987,78.4,89.54,93.3,97.07,99.12,70.7,82.58,86.85,92.26,96.32,78.4,31.8,20.42,11.12,5.91,73.26,45.12,32.57,19.63,11.07,78.4,80.15,82.14,84.17,85.37,85.0,93.45,1.25,1,3,1.0,0.44,1.78,1.0,0.3,0.3,0.32,0.33
musique,mlp_kl_div_tau_0.05,0.05,test,1995,78.9,90.58,93.93,97.59,99.0,71.59,84.05,87.89,93.09,96.63,78.9,32.35,20.6,11.14,5.9,74.02,45.91,32.88,19.7,11.05,78.9,81.36,83.14,85.06,86.14,85.56,94.19,1.24,1,3,1.0,0.44,1.69,1.0,0.3,0.29,0.32,0.33
musique,mlp_kl_div_tau_0.07,0.07,train,13956,99.96,100.0,100.0,100.0,100.0,87.71,99.84,99.97,99.99,100.0,99.96,41.5,24.96,12.49,6.24,91.77,57.27,39.21,21.94,11.67,99.96,99.81,99.88,99.89,99.9,99.98,100.0,1.25,1,3,1.0,0.44,1.0,1.0,0.29,0.29,0.32,0.33
musique,mlp_kl_div_tau_0.07,0.07,val,3987,79.48,89.42,92.5,96.36,98.75,71.71,82.75,86.44,91.73,95.98,79.48,31.85,20.32,11.02,5.89,74.29,45.21,32.41,19.47,11.02,79.48,80.59,82.33,84.3,85.56,85.33,93.2,1.25,1,3,1.0,0.44,1.8,1.0,0.29,0.29,0.31,0.33
